Num_Threads     Chunk   Total_Time
20      4096    9.5
20      8192    6.9
20      10000   9.7
20      15000   7.0
20      20000   10.3
20      25000   6.9
20      30000   9.6
20      35000   6.9
20      40000   9.8
20      45000   7.3
20      50000   9.6
20      55000   6.8
20      60000   9.8
24      16      6.3
24      32      6.3
24      64      7.6
24      128     8.0
24      256     8.1
24      512     6.1
24      1024    7.7
24      2048    8.2
24      4096    8.7
24      8192    6.2
24      10000   8.1
24      15000   8.5
24      20000   8.1
24      25000   6.4
24      30000   7.8
24      35000   8.4
24      40000   8.1
24      45000   6.4
24      50000   8.4
24      55000   8.1
24      60000   8.2
30      16      6.6
30      32      6.4
30      64      6.1
30      128     6.2
30      256     6.4
30      512     6.2
30      1024    6.3
30      2048    6.4
30      4096    6.5
30      8192    6.3
30      10000   6.3
30      15000   6.7
30      20000   6.6
30      25000   6.3
30      30000   6.4
30      35000   6.7
30      40000   6.6
30      45000   6.5
30      50000   6.5
30      55000   6.7
30      60000   6.5
36      16      5.8
36      32      5.6
36      64      5.7
36      128     5.5
36      256     5.8
36      512     5.5
36      1024    5.7
36      2048    5.5
36      4096    5.9
36      8192    5.3
36      10000   5.7
36      15000   5.4
36      20000   5.7
36      25000   5.3
36      30000   5.7
36      35000   5.2
36      40000   5.7
36      45000   5.6
36      50000   5.5
36      55000   5.3
36      60000   5.5
48      16      4.1
48      32      4.2
48      64      4.2
48      128     4.2
48      256     4.4
48      512     4.2
48      1024    4.2
48      2048    4.2
48      4096    4.3
48      8192    4.3
48      10000   4.2
48      15000   4.3
48      20000   4.3
48      25000   4.2
48      30000   4.2
48      35000   4.3
48      40000   4.3
48      45000   4.3
48      50000   4.1
48      55000   4.3
48      60000   4.2
64      16      3.2
64      32      3.2
64      64      3.3
64      128     3.2
64      256     3.3
64      512     3.1
64      1024    3.2
64      2048    3.4
64      4096    3.3
64      8192    3.2
64      10000   3.3
64      15000   3.2
64      20000   3.2
64      25000   3.2
64      30000   3.2
64      35000   3.2
64      40000   3.3
64      45000   3.2
64      50000   3.3
64      55000   3.2
64      60000   3.4
72      16      3.0
72      32      2.9
72      64      2.9
72      128     2.9
72      256     2.8
72      512     2.9
72      1024    2.8
72      2048    2.8
72      4096    2.9
72      8192    2.9
72      10000   2.9
72      15000   2.9
72      20000   3.0
72      25000   2.9
72      30000   2.9
72      35000   3.0
72      40000   2.9
72      45000   3.0
72      50000   2.9
72      55000   3.1
72      60000   3.0
96      16      2.2
96      32      2.3
96      64      2.2
96      128     2.3
96      256     2.4
96      512     2.3
96      1024    2.3
96      2048    2.3
96      4096    2.3
96      8192    2.3
96      10000   2.2
96      15000   2.2
96      20000   2.3
96      25000   2.3
96      30000   2.3
96      35000   2.3
96      40000   2.2
96      45000   2.3
96      50000   2.3
96      55000   2.3
96      60000   2.2
128     16      1.7
128     32      1.8
128     64      1.8
128     128     1.7
128     256     1.8
128     512     1.8
128     1024    1.8
128     2048    1.8
128     4096    1.7
128     8192    1.8
128     10000   1.7
128     15000   1.7
128     20000   1.8
128     25000   1.8
128     30000   1.8
128     35000   1.7
128     40000   1.8
128     45000   1.7
128     50000   1.8
128     55000   1.7
128     60000   1.7
200     16      1.4
200     32      1.4
200     64      1.4
200     128     1.4
200     256     1.4
200     512     1.4
200     1024    1.4
200     2048    1.4
200     4096    1.4
200     8192    1.6
200     10000   1.4
200     15000   1.4
200     20000   1.4
200     25000   1.4
200     30000   1.4
200     35000   1.4
200     40000   1.4
200     45000   1.4
200     50000   1.4
200     55000   1.5
200     60000   1.4
256     16      1.3
256     32      1.3
256     64      1.3
256     128     1.4
256     256     1.3
256     512     1.3
256     1024    1.4
256     2048    1.3
256     4096    1.4
256     8192    1.3
256     10000   1.3
256     15000   1.3
256     20000   1.3
256     25000   1.3
256     30000   1.4
256     35000   1.4
256     40000   1.3
256     45000   1.4
256     50000   1.3
256     55000   1.3
256     60000   1.4
